Step2.tibble_sample_id,Step2.tibble_Hash,Step2.tibble_nReads
lcs422s313,ced521aab8bcfb8d12c78e17e824b15e,3061
lcs422s321,ced521aab8bcfb8d12c78e17e824b15e,2073
lcs422s341,ced521aab8bcfb8d12c78e17e824b15e,1847
lcs422s511,ced521aab8bcfb8d12c78e17e824b15e,524
lcs422s521,ced521aab8bcfb8d12c78e17e824b15e,1167
lcs422s541,ced521aab8bcfb8d12c78e17e824b15e,991
kbb922pmbs122,d8623b51049a66e3373da4e5da51a6c5,3867
kbb922pmts112,d8623b51049a66e3373da4e5da51a6c5,99
kbb922pnts111,d8623b51049a66e3373da4e5da51a6c5,146
kbb922pnts112,d8623b51049a66e3373da4e5da51a6c5,11561
kbg422s112,d8623b51049a66e3373da4e5da51a6c5,23322
kbg422s113,d8623b51049a66e3373da4e5da51a6c5,10907
kbg422s121,d8623b51049a66e3373da4e5da51a6c5,25240
kbg422s512,d8623b51049a66e3373da4e5da51a6c5,8597
kbg422s521,d8623b51049a66e3373da4e5da51a6c5,11390
kbg922s311,d8623b51049a66e3373da4e5da51a6c5,1452
kbh422s111,d8623b51049a66e3373da4e5da51a6c5,72229
kbh422s112,d8623b51049a66e3373da4e5da51a6c5,30292
kbh422s113,d8623b51049a66e3373da4e5da51a6c5,138460
kbh922s312,d8623b51049a66e3373da4e5da51a6c5,2301
kbh922s322,d8623b51049a66e3373da4e5da51a6c5,466
kbj922s311,d8623b51049a66e3373da4e5da51a6c5,328
kbt422s121,d8623b51049a66e3373da4e5da51a6c5,2168
kbt922s311,d8623b51049a66e3373da4e5da51a6c5,193
kbw422s112,d8623b51049a66e3373da4e5da51a6c5,2884
kbw422s113,d8623b51049a66e3373da4e5da51a6c5,1225
kbw922pcs111,d8623b51049a66e3373da4e5da51a6c5,3199
kbw922pms111,d8623b51049a66e3373da4e5da51a6c5,1574
kbw922s312,d8623b51049a66e3373da4e5da51a6c5,8
kbw922s322,d8623b51049a66e3373da4e5da51a6c5,986
kbw922s342,d8623b51049a66e3373da4e5da51a6c5,746
lce422s311,d8623b51049a66e3373da4e5da51a6c5,1108
lce422s512,d8623b51049a66e3373da4e5da51a6c5,6929
lce422s513,d8623b51049a66e3373da4e5da51a6c5,44
lcm422s111,d8623b51049a66e3373da4e5da51a6c5,81
lcm422s112,d8623b51049a66e3373da4e5da51a6c5,189
lcm422s113,d8623b51049a66e3373da4e5da51a6c5,211
lcm422s131,d8623b51049a66e3373da4e5da51a6c5,704
lcm422s141,d8623b51049a66e3373da4e5da51a6c5,622
lcm422s321,d8623b51049a66e3373da4e5da51a6c5,337
lcm422s331,d8623b51049a66e3373da4e5da51a6c5,383
lcm422s341,d8623b51049a66e3373da4e5da51a6c5,288
lcm422s513,d8623b51049a66e3373da4e5da51a6c5,927
lcs422s111,d8623b51049a66e3373da4e5da51a6c5,585
lcs422s113,d8623b51049a66e3373da4e5da51a6c5,563
lcs422s141,d8623b51049a66e3373da4e5da51a6c5,1790
lcs422s313,d8623b51049a66e3373da4e5da51a6c5,3298
lcs422s521,d8623b51049a66e3373da4e5da51a6c5,21
lcs422s531,d8623b51049a66e3373da4e5da51a6c5,416
lcs422s541,d8623b51049a66e3373da4e5da51a6c5,833
kbb922pmts111,76664c7056e55b8d6bab0124aac1101a,389
kbg422s121,76664c7056e55b8d6bab0124aac1101a,1261
kbg422s131,76664c7056e55b8d6bab0124aac1101a,5016
kbg422s511,76664c7056e55b8d6bab0124aac1101a,1754
kbg422s512,76664c7056e55b8d6bab0124aac1101a,2540
kbg422s521,76664c7056e55b8d6bab0124aac1101a,29484
kbg922s311,76664c7056e55b8d6bab0124aac1101a,740
kbg922s312,76664c7056e55b8d6bab0124aac1101a,205
kbg922s331,76664c7056e55b8d6bab0124aac1101a,547
kbg922s342,76664c7056e55b8d6bab0124aac1101a,6193
kbh422s1NC,76664c7056e55b8d6bab0124aac1101a,15768
kbh922s311,76664c7056e55b8d6bab0124aac1101a,4263
kbh922s312,76664c7056e55b8d6bab0124aac1101a,2182
kbj411s1NC,76664c7056e55b8d6bab0124aac1101a,17298
kbj422s131,76664c7056e55b8d6bab0124aac1101a,27582
kbj422s511,76664c7056e55b8d6bab0124aac1101a,1541
kbj422s512,76664c7056e55b8d6bab0124aac1101a,3889
kbj422s513,76664c7056e55b8d6bab0124aac1101a,2340
kbj422s531,76664c7056e55b8d6bab0124aac1101a,4514
kbj422s541,76664c7056e55b8d6bab0124aac1101a,5427
kbj922s341,76664c7056e55b8d6bab0124aac1101a,5579
kbj922s342,76664c7056e55b8d6bab0124aac1101a,1235
kbt422s121,76664c7056e55b8d6bab0124aac1101a,1186
kbt422s1NC,76664c7056e55b8d6bab0124aac1101a,2900
kbt922s331,76664c7056e55b8d6bab0124aac1101a,2694
kbw422s111,76664c7056e55b8d6bab0124aac1101a,132
kbw422s112,76664c7056e55b8d6bab0124aac1101a,11580
kbw422s113,76664c7056e55b8d6bab0124aac1101a,2016
kbw922s321,76664c7056e55b8d6bab0124aac1101a,1237
kbw922s332,76664c7056e55b8d6bab0124aac1101a,5589
kbw922s341,76664c7056e55b8d6bab0124aac1101a,39
kbw922s342,76664c7056e55b8d6bab0124aac1101a,696
lcc422s511,76664c7056e55b8d6bab0124aac1101a,21896
lce422s141,76664c7056e55b8d6bab0124aac1101a,43315
lce422s312,76664c7056e55b8d6bab0124aac1101a,1568
lce422s513,76664c7056e55b8d6bab0124aac1101a,545
lcm422s111,76664c7056e55b8d6bab0124aac1101a,609
lcm422s112,76664c7056e55b8d6bab0124aac1101a,1601
lcm422s113,76664c7056e55b8d6bab0124aac1101a,2874
lcm422s131,76664c7056e55b8d6bab0124aac1101a,620
lcm422s141,76664c7056e55b8d6bab0124aac1101a,2861
lcm422s313,76664c7056e55b8d6bab0124aac1101a,2650
lcm422s321,76664c7056e55b8d6bab0124aac1101a,777
lcm422s331,76664c7056e55b8d6bab0124aac1101a,914
lcm422s341,76664c7056e55b8d6bab0124aac1101a,795
lcm422s511,76664c7056e55b8d6bab0124aac1101a,1924
lcm422s512,76664c7056e55b8d6bab0124aac1101a,895
lcm422s513,76664c7056e55b8d6bab0124aac1101a,1358
lcm422s521,76664c7056e55b8d6bab0124aac1101a,3809
lcm422s541,76664c7056e55b8d6bab0124aac1101a,5213
lcm422s542,76664c7056e55b8d6bab0124aac1101a,1376
lcs422s111,76664c7056e55b8d6bab0124aac1101a,472
lcs422s311,76664c7056e55b8d6bab0124aac1101a,3075
lcs422s313,76664c7056e55b8d6bab0124aac1101a,9355
lcs422s341,76664c7056e55b8d6bab0124aac1101a,187
lcs422s511,76664c7056e55b8d6bab0124aac1101a,3845
lcs422s512,76664c7056e55b8d6bab0124aac1101a,6003
lcs422s521,76664c7056e55b8d6bab0124aac1101a,920
lcs422s531,76664c7056e55b8d6bab0124aac1101a,8320
lcs422s541,76664c7056e55b8d6bab0124aac1101a,104
kbj422s111,b33507582222c1d4c2be9a1ca830ad8a,61065
kbj422s141,b33507582222c1d4c2be9a1ca830ad8a,1977
kbw422s311,b33507582222c1d4c2be9a1ca830ad8a,211
kbw422s312,b33507582222c1d4c2be9a1ca830ad8a,11999
lcc422s112,b33507582222c1d4c2be9a1ca830ad8a,243
lcc422s113,b33507582222c1d4c2be9a1ca830ad8a,10879
lcc422s131,b33507582222c1d4c2be9a1ca830ad8a,53482
lcc422s141,b33507582222c1d4c2be9a1ca830ad8a,5570
lcc422s311,b33507582222c1d4c2be9a1ca830ad8a,8569
lcc422s313,b33507582222c1d4c2be9a1ca830ad8a,19817
lcc422s341,b33507582222c1d4c2be9a1ca830ad8a,6921
lcc422s512,b33507582222c1d4c2be9a1ca830ad8a,4058
lcc422s513,b33507582222c1d4c2be9a1ca830ad8a,10346
lcc422s541,b33507582222c1d4c2be9a1ca830ad8a,13805
lce422s131,b33507582222c1d4c2be9a1ca830ad8a,10730
lcs422s331,b33507582222c1d4c2be9a1ca830ad8a,639
kbb922pmbs112,373cf56bf02b9f1e431f37cebfa6bb5c,791
kbb922pmbs121,373cf56bf02b9f1e431f37cebfa6bb5c,1087
kbb922pmbs122,373cf56bf02b9f1e431f37cebfa6bb5c,2826
kbb922pmts122,373cf56bf02b9f1e431f37cebfa6bb5c,61
kbh922s342,373cf56bf02b9f1e431f37cebfa6bb5c,1615
kbj422s341,373cf56bf02b9f1e431f37cebfa6bb5c,10892
kbj422s512,373cf56bf02b9f1e431f37cebfa6bb5c,3175
kbj422s521,373cf56bf02b9f1e431f37cebfa6bb5c,3413
kbj422s531,373cf56bf02b9f1e431f37cebfa6bb5c,6275
kbj922s311,373cf56bf02b9f1e431f37cebfa6bb5c,46463
kbj922s312,373cf56bf02b9f1e431f37cebfa6bb5c,35530
kbj922s332,373cf56bf02b9f1e431f37cebfa6bb5c,19725
kbj922s342,373cf56bf02b9f1e431f37cebfa6bb5c,6620
kbt422s141,373cf56bf02b9f1e431f37cebfa6bb5c,4192
kbt922s311,373cf56bf02b9f1e431f37cebfa6bb5c,19998
kbw922s312,373cf56bf02b9f1e431f37cebfa6bb5c,12508
lcc422s111,373cf56bf02b9f1e431f37cebfa6bb5c,1494
lcc422s311,373cf56bf02b9f1e431f37cebfa6bb5c,4407
lcc422s312,373cf56bf02b9f1e431f37cebfa6bb5c,7475
lce422s131,373cf56bf02b9f1e431f37cebfa6bb5c,11258
lce422s521,373cf56bf02b9f1e431f37cebfa6bb5c,11951
lcm422s312,373cf56bf02b9f1e431f37cebfa6bb5c,421
lcm422s341,373cf56bf02b9f1e431f37cebfa6bb5c,465
lcs422s313,373cf56bf02b9f1e431f37cebfa6bb5c,1611
lcs422s521,373cf56bf02b9f1e431f37cebfa6bb5c,1734
kbh422s531,ebc52de9c7f19677ce83ac48efe4bb57,15981
kbt922s311,ebc52de9c7f19677ce83ac48efe4bb57,49
kbw422s311,ebc52de9c7f19677ce83ac48efe4bb57,444
kbw922pcs111,ebc52de9c7f19677ce83ac48efe4bb57,37194
kbw922pcs121,ebc52de9c7f19677ce83ac48efe4bb57,47767
kbw922pcs122,ebc52de9c7f19677ce83ac48efe4bb57,3994
kbw922pcs131,ebc52de9c7f19677ce83ac48efe4bb57,3241
kbw922pcs132,ebc52de9c7f19677ce83ac48efe4bb57,7172
kbw922pms112,ebc52de9c7f19677ce83ac48efe4bb57,29544
kbw922pms121,ebc52de9c7f19677ce83ac48efe4bb57,926
lce422s512,ebc52de9c7f19677ce83ac48efe4bb57,8527
kbb922pmbs111,b189e417627d898b6e477d1df634f9d8,1424
kbb922pmts121,b189e417627d898b6e477d1df634f9d8,15052
kbb922pmts122,b189e417627d898b6e477d1df634f9d8,3650
kbg422s121,b189e417627d898b6e477d1df634f9d8,15397
kbg922s311,b189e417627d898b6e477d1df634f9d8,3695
kbg922s331,b189e417627d898b6e477d1df634f9d8,773
kbh922s311,b189e417627d898b6e477d1df634f9d8,5040
kbh922s322,b189e417627d898b6e477d1df634f9d8,199
kbt922s311,b189e417627d898b6e477d1df634f9d8,11841
kbt922s312,b189e417627d898b6e477d1df634f9d8,3126
kbt922s321,b189e417627d898b6e477d1df634f9d8,427
kbt922s331,b189e417627d898b6e477d1df634f9d8,9391
kbt922s332,b189e417627d898b6e477d1df634f9d8,7567
kbt922s341,b189e417627d898b6e477d1df634f9d8,1062
kbt922s342,b189e417627d898b6e477d1df634f9d8,9211
kbw922pcs111,b189e417627d898b6e477d1df634f9d8,10980
kbw922pms112,b189e417627d898b6e477d1df634f9d8,40540
kbw922s341,b189e417627d898b6e477d1df634f9d8,94
kbw922s342,b189e417627d898b6e477d1df634f9d8,1180
lcc422s112,b189e417627d898b6e477d1df634f9d8,346
